,method,mcc,precision,f1_score,recall,label_vs_rest,nb_genes,model
0,yomix,0.9558964479321644,0.9166666666666666,0.9565217391304348,1.0,rhabdomyosarcoma (alveolar)_vs_rest,1,svm
1,yomix,0.8821470840307692,0.7857142857142857,0.88,1.0,rhabdomyosarcoma (alveolar)_vs_rest,1,svm
2,yomix,0.8508593663713487,0.7333333333333333,0.8461538461538461,1.0,rhabdomyosarcoma (alveolar)_vs_rest,1,svm
3,yomix,0.9169226315849159,0.8461538461538461,0.9166666666666666,1.0,rhabdomyosarcoma (alveolar)_vs_rest,1,svm
4,yomix,0.9558964479321644,0.9166666666666666,0.9565217391304348,1.0,rhabdomyosarcoma (alveolar)_vs_rest,1,svm
5,yomix,0.9169226315849159,0.8461538461538461,0.9166666666666666,1.0,rhabdomyosarcoma (alveolar)_vs_rest,1,svm
6,yomix,0.9169226315849159,0.8461538461538461,0.9166666666666666,1.0,rhabdomyosarcoma (alveolar)_vs_rest,1,svm
7,yomix,0.9169226315849159,0.8461538461538461,0.9166666666666666,1.0,rhabdomyosarcoma (alveolar)_vs_rest,1,svm
8,yomix,0.9169226315849159,0.8461538461538461,0.9166666666666666,1.0,rhabdomyosarcoma (alveolar)_vs_rest,1,svm
9,yomix,1.0,1.0,1.0,1.0,rhabdomyosarcoma (alveolar)_vs_rest,1,svm
10,yomix,1.0,1.0,1.0,1.0,rhabdomyosarcoma (alveolar)_vs_rest,2,svm
11,yomix,1.0,1.0,1.0,1.0,rhabdomyosarcoma (alveolar)_vs_rest,2,svm
12,yomix,0.9558964479321644,0.9166666666666666,0.9565217391304348,1.0,rhabdomyosarcoma (alveolar)_vs_rest,2,svm
13,yomix,1.0,1.0,1.0,1.0,rhabdomyosarcoma (alveolar)_vs_rest,2,svm
14,yomix,1.0,1.0,1.0,1.0,rhabdomyosarcoma (alveolar)_vs_rest,2,svm
15,yomix,0.9558964479321644,0.9166666666666666,0.9565217391304348,1.0,rhabdomyosarcoma (alveolar)_vs_rest,2,svm
16,yomix,0.9558964479321644,0.9166666666666666,0.9565217391304348,1.0,rhabdomyosarcoma (alveolar)_vs_rest,2,svm
17,yomix,0.9558964479321644,0.9166666666666666,0.9565217391304348,1.0,rhabdomyosarcoma (alveolar)_vs_rest,2,svm
18,yomix,0.9558964479321644,0.9166666666666666,0.9565217391304348,1.0,rhabdomyosarcoma (alveolar)_vs_rest,2,svm
19,yomix,0.9558964479321644,0.9166666666666666,0.9565217391304348,1.0,rhabdomyosarcoma (alveolar)_vs_rest,2,svm
20,yomix,1.0,1.0,1.0,1.0,rhabdomyosarcoma (alveolar)_vs_rest,3,svm
21,yomix,1.0,1.0,1.0,1.0,rhabdomyosarcoma (alveolar)_vs_rest,3,svm
22,yomix,0.9558964479321644,0.9166666666666666,0.9565217391304348,1.0,rhabdomyosarcoma (alveolar)_vs_rest,3,svm
23,yomix,1.0,1.0,1.0,1.0,rhabdomyosarcoma (alveolar)_vs_rest,3,svm
24,yomix,1.0,1.0,1.0,1.0,rhabdomyosarcoma (alveolar)_vs_rest,3,svm
25,yomix,1.0,1.0,1.0,1.0,rhabdomyosarcoma (alveolar)_vs_rest,3,svm
26,yomix,1.0,1.0,1.0,1.0,rhabdomyosarcoma (alveolar)_vs_rest,3,svm
27,yomix,0.9558964479321644,0.9166666666666666,0.9565217391304348,1.0,rhabdomyosarcoma (alveolar)_vs_rest,3,svm
28,yomix,1.0,1.0,1.0,1.0,rhabdomyosarcoma (alveolar)_vs_rest,3,svm
29,yomix,1.0,1.0,1.0,1.0,rhabdomyosarcoma (alveolar)_vs_rest,3,svm
30,yomix,1.0,1.0,1.0,1.0,rhabdomyosarcoma (alveolar)_vs_rest,4,svm
31,yomix,1.0,1.0,1.0,1.0,rhabdomyosarcoma (alveolar)_vs_rest,4,svm
32,yomix,0.9558964479321644,0.9166666666666666,0.9565217391304348,1.0,rhabdomyosarcoma (alveolar)_vs_rest,4,svm
33,yomix,1.0,1.0,1.0,1.0,rhabdomyosarcoma (alveolar)_vs_rest,4,svm
34,yomix,1.0,1.0,1.0,1.0,rhabdomyosarcoma (alveolar)_vs_rest,4,svm
35,yomix,1.0,1.0,1.0,1.0,rhabdomyosarcoma (alveolar)_vs_rest,4,svm
